pilot_id,question,context,gold_answers,prediction,human_label,human_notes
1,מהו השיר המצליח ביותר שהלחינה רביץ בשנת 1981?,,"""ילדות נשכחת""","""ילדות נשכחת""",CORRECT,
2,כמה זמן לוקח לטכנאי של Puls לתקן מכשיר נייד?,,60 דקות,60 דקות,CORRECT,
3,איפה התחיל וירוס הקורונה?,,בארה״ב,וירוס הקורונה התחיל בסין.,INCORRECT,
4,באיזו גרסת iOS נולדה Siri?,,ב – iOS 12,ב-iOS 12,CORRECT,
5,"כמה פעמים, בסך הכל, תועד שלג מחוץ לחודשי ינואר עד מחצית מרץ?",,12,שלוש פעמים,INCORRECT,
6,"היכן היה מדורו של לוין ""דף האחוריים""?",,ברדיו,"הִתְפַּרְסֵם קֹדֶם לָכֵן בִּמְדוֹרוֹ ""דַּף הָאֲחוֹרַיִּם"".",INCORRECT,
7,מהי רמת הסוכר הממוצעת בדם בקרב החולים?,,110 מיליגרם לדציליטר,רמת הסוכר הממוצעת בדם בקרב חולים היא 80-110 מיליגרם לדציליטר.,CORRECT,
8,"מי מכהן כמנכ""ל אינטל?",,פאט גלסינגר,פאט גלסינגר,CORRECT,
9,כמה יכולות גרפיות יש לדגם ה7 של מיקרוסופט?,,2 טרהפלופ,2 טְרָהַפְּלוֹפּ,CORRECT,
10,באיזו עונה שיחק קורט רמביס במועדון?,,1998/1999,בשנת 1998/1999,CORRECT,
11,כמה קנאביס ביום מעשן מעשן כבד?,,כ-20 סיגריות,מעשן כבד של קנאביס מעשן 3-4 סיגריות ביום.,INCORRECT,
12,מתי שובץ כוכבי בגדוד 890?,,באוגוסט 1982 | אוגוסט 1982,אוֹגוּסְט 1982,CORRECT,
13,באיזה שנה הומצאה הדמות מיסטר בין?,,1994,1994,CORRECT,
14,היכן התפללו היהודים הדתיים תפילת שחרית ב11 בספטמבר?,,במגדלי התאומים,הם התפללו תפילת שחרית ב-11 בספטמבר.,INCORRECT,
15,מהי כמות המטרים המינימלית בה צריך לעלות פני הים על מנת להשפיע על עיר?,,ארבעה מטרים,ארבעה מטרים,CORRECT,
16,מתי יצאה ווינדוס 5?,,בשנת 1990,@,INCORRECT,
17,"מי הלחין את השיר ""האיש הכי מהיר""?",,סנדרסון,סנדרסון,CORRECT,
18,איזו מפלגה בראשות בן פורת נבחרה לכנסת?,,התנועה להתחדשות ממלכתית,התנועה להתחדשות ציונית חברתית,INCORRECT,
19,מתי התרחש ארמגדון פיננסי?,,2008,1982,INCORRECT,
20,מה יכול להשפיע על איכות חיבור האינטרנט?,,המפרט הטכני,יש להבטיח שיש לו חיבור אינטרנט טוב כדי שהשיחה תהיה חלקה.,INCORRECT,
21,מהו שם משפחתו של פיטר?,,סיסטביץ',spiiderman,INCORRECT,
22,מתי כל המשפחה של תומר שובל חלתה בחופשה במקסיקו?,,בשנת 2010,בשנת 2010,CORRECT,
23,באיזו אפליקציה יש אפשרות לפילטר של מין הנוסע?,,Gett,"אַפְּלִיקַצְיַת מוֹנִיּוֹת כְּמוֹ Gett, MyTaxi אוֹ אוֹבֶּר וְלִיפְּט",CORRECT,
24,מיהם הלקוחות של רני רהב?,,ראש הממשלה אהוד אולמרט ושר הביטחון עמיר פרץ,הַלָּקוֹחוֹת שֶׁל רַהַב סוֹבְלִים מִיַחֲסֵי צִבּוּר מְזַעְזְעִים.,INCORRECT,
25,איזה חברה הייתה החד-קרן המהיר ביותר בהייטק הישראלי?,,Wiz,Wiz,CORRECT,
26,מהי מידת הרצינות של המהלך שביצעה אפל ביחס לאייטיונז?,,חצי מתבדח,יחסית שקט וסולידי,INCORRECT,
27,"מתי דווח לראשונה על תופעה של ""פלאשבקים"" לאחר שימוש ב-LSD?",,בשנת 1971,התופעה של פלשבקים דווחה לראשונה לאחר שימוש ב-LSD.,INCORRECT,
28,כמה עלה ל-Sirin Labs השירות של Zimperium?,,"54,000","54,000 ש""ח",CORRECT,
29,מהו תהליך המורפוגנזה?,,"תא גזע פלוריפוטנטי מתחלק ויוצר תאי גזע מולטיפוטנטי, אשר יתחלקו לסוג מסוים של תאים.","תהליך המורפוגנזה הוא תהליך שבו תא גזע פלוריפוטנטי מתחלק ויוצר תאי גזע מולטיפוטנטי, אשר יתחלקו לסוג מסוים של תאים.",CORRECT,
30,כמה מסגרות חינוך של התנועה הציונית נפתחו?,,חמישה,cinco,INCORRECT,
31,נשיא של איזה ארגון היה?,,נשיא הבונים החופשיים,נשיא הבונים החופשיים.,CORRECT,
32,במה עוסק השינוי שמתאר אליאס?,,כללי הנימוס,"השינוי שאליאס מתאר עוסק בהתפתחות של כללי נימוס, שאומצו בהדרגה על ידי מעמדות הביניים, במטרה להידמות לאנשי החצר, ואז על ידי אנשי החצר, במטרה להיבדל מהם.",CORRECT,
33,עבור מה המשימה הראשונה שלו הייתה?,,עבור 10 ציורי תקרה של חיי המשיח,עֲבוּר 10 צִיּוּרֵי תִּקְרָה שֶׁל חַיֵּי הַמָּשִׁיחַ בְּטִירַת ר�,CORRECT,
34,בתור מה הוזמן גדעון קוץ לוועדות פרלמנטריות בצרפת?,,כמומחה,בצָרְפַת,INCORRECT,
35,מה נמצא בספרד?,,מאובנים,הם נמצאו בספרד.,INCORRECT,
36,מהי ההגיגית?,,קערת אבן שבה ניתן לשמור זיכרונות בצורת נוזלית,הHINGEは一种石制的锅，在其中可以保存液态记忆，并在任何时间观看。,INCORRECT,
37,מהם שתי המשימות שהוטלו על רובנוב?,,"רציחתו של הנשיא, והימלטות מאייל שנשלח להורגו",שתי המשימות שהוטלו על רובנוב הן רציחתו של הנשיא והימלטותו מאייל שנשלח להורגו.,CORRECT,
38,"לפי הכתוב ב""ההרים והימים"", לאן מביאים מנחות לשמים ולירקן?",,טאישה ושאושה,"המנחות מובאות לטאישה ושאושה, שהם קברים על הר סונג.",CORRECT,
39,"מה חיזק את את האינטרס של האליטות בממלכת הונגריה בקבלת היהודים כ""הונגרים בני דת משה""?",,היותם של דוברי-ההונגרית מיעוט בארץ וחשיבותם הכלכלית של היהודים במשק מפגר,לַת הַיְּהוּדִים כְּצָרְפָתִים בְּנֵי דַּת מֹשֶׁה. הַמִּנְשָׁר,INCORRECT,
40,באיזה גיל הצטרף ג'יימס ביטי לבלקברן?,,15,15,CORRECT,
41,באיזה תאריך מתה מריה הראשונה מלכת פורטוגל?,,ב-20 במרץ 1816,20 במרץ 1816,CORRECT,
42,מה שם האזור בו הסיכוי למציאת אלקטרון מסוים הוא מרבי?,,אורביטל אטומי,אורביטל אטומי.,CORRECT,
43,מהו טיב הקשר המיוחד בין אינדונזיה והולד?,,בהיסטוריה המשותפת שלהן של אינטראקציות קולוניאליות במשך מאות שנים,היחסים בין אינדונזיה להולנד הם המוטמע בהיסטוריה המשותפת של אינטראקציות קולוניאליות במשך מאות שנים.,CORRECT,
44,עם איזו קבוצת אנשים מצא רותבארד עניין משותף?,,מכחישי שואה ,"רותבארד מצא עניין משותף עם היסטוריונים רוויזיוניסטים של הרייך השלישי, כולל מכחישי שואה אמריקנים כמו ג'יימס ג'יי מרטין מהמכון למחקר היסטורי.",CORRECT,
45,אילו רכיבים ישנם בארס בדרך כלל?,,תערובת של חלבונים ופפטידים,רכיבים חלבוניים ופפטידים רעלנים מלחים ומרכיבים אורגניים אחרים כגון חומצות אמינו ומוליכים עצביים,CORRECT,
46,מתי חתם על חוזה מקצוען?,,באוגוסט 1945,באוגוסט 1945,CORRECT,
47,במה זכתה אולזון בתוכנית כישרונות צעירים?,,"בתור ""ראוי לשבח""","זָכְתָה בְּתוֹר ""רָאוּי לְשֶׁבַח"".",CORRECT,
48,איזה פרק קניג היה שותף בכתיבתו?,,"""The Infinite Vulcan""","ְסִים, וּבְשֶׁל אַנְטֶרְפְּרַיְז, אֲבָל הִיא הָיְתָה מְעֻבֶּדֶת",INCORRECT,
49,"עם מי יצר וואורינן את ""הקבוצה למוזיקה עכשווית""?",,הארווי סולברגר,עם הרווי סולברג,INCORRECT,
50,לכמה משפחות הוענקו פיצויים?,,"9,089","9,089",CORRECT,
51,היכן נולד בוריס אנדרייב?,,בסראטוב. ,בוריס אנדרייב נולד בסרטוב.,CORRECT,
52,איפה נקלטה חברת הנוער הראשונה?,,בקיבוץ עין חרוד,בקיבוץ עין חרוד,CORRECT,
